Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,99.449997,100.379997,98.199997,100.379997,91.033394,7290500
2015-11-03,99.650002,100.360001,99.220001,99.889999,90.589027,4303500
2015-11-04,100.419998,101.080002,98.360001,99.570000,90.298820,7584900
2015-11-05,99.800003,100.339996,98.889999,99.540001,90.271614,4105000
2015-11-06,99.160004,99.589996,98.279999,98.699997,89.509811,4166700
2015-11-09,98.269997,98.349998,96.989998,97.989998,88.865921,4013600
2015-11-10,97.910004,98.290001,97.580002,97.839996,88.729904,4400100
2015-11-11,98.000000,98.110001,94.639999,94.849998,86.018288,7996700
2015-11-12,94.209999,94.599998,92.760002,93.120003,84.449394,8111500
2015-11-13,92.550003,92.870003,91.470001,91.809998,83.261360,7508600
2015-11-16,91.870003,93.639999,91.820000,93.620003,84.902832,5355600
2015-11-17,93.750000,94.949997,93.220001,93.790001,85.056992,4705700
2015-11-18,93.849998,95.360001,93.809998,95.190002,86.326645,4932000
2015-11-19,95.199997,95.389999,92.129997,92.489998,83.878044,6399000
2015-11-20,93.120003,93.190002,91.790001,91.930000,83.370193,6925000
2015-11-23,91.940002,92.110001,90.099998,91.559998,83.034622,5968000
2015-11-24,91.190002,92.580002,90.830002,92.250000,83.660400,4474400
2015-11-25,92.519997,94.449997,92.480003,93.900002,85.156746,5013800
2015-11-27,94.190002,95.050003,94.010002,94.629997,85.818794,2688000
2015-11-30,94.559998,95.959999,94.000000,94.089996,85.329063,5722100
2015-12-01,94.669998,95.570000,94.129997,95.449997,86.562431,6695600
2015-12-02,94.949997,95.550003,94.400002,94.500000,85.700890,5505500
2015-12-03,94.620003,95.190002,92.639999,92.849998,84.204521,6014000
2015-12-04,93.279999,95.660004,93.190002,95.459999,86.571510,5170800
2015-12-07,95.800003,96.489998,95.489998,96.339996,87.369560,5330400
2015-12-08,95.860001,96.400002,94.910004,95.660004,86.752876,4645000
2015-12-09,94.980003,96.449997,94.110001,94.980003,86.136192,5400100
2015-12-10,94.910004,95.550003,94.419998,94.739998,85.918541,3513500
2015-12-11,94.739998,94.739998,92.540001,93.239998,84.558212,6095900
2015-12-14,93.419998,94.230003,92.370003,94.110001,85.347206,5827600
2015-12-15,94.970001,95.449997,92.489998,92.589996,83.968719,8631500
2015-12-16,94.150002,97.809998,93.459999,97.559998,88.475975,10374000
2015-12-17,97.220001,97.379997,94.709999,94.709999,85.891335,6977600
2015-12-18,94.099998,95.500000,93.529999,94.860001,86.027367,9128500
2015-12-21,95.269997,96.330002,95.050003,95.949997,87.015869,3689800
2015-12-22,96.830002,98.559998,96.320000,98.269997,89.119850,6232600
2015-12-23,98.610001,99.089996,98.070000,98.510002,89.337517,3796500
2015-12-24,98.449997,99.260002,98.309998,98.860001,89.654907,1793000
2015-12-28,98.410004,98.980003,98.129997,98.419998,89.255890,2710800
2015-12-29,98.900002,99.519997,98.510002,99.360001,90.108368,2819600
2015-12-30,99.360001,99.599998,98.709999,98.739998,89.546097,2500700
2015-12-31,98.620003,98.720001,97.750000,97.769997,88.666412,3442400
2016-01-04,96.169998,96.570000,95.370003,96.459999,87.478386,5911000
2016-01-05,96.389999,97.150002,95.900002,96.739998,87.732315,5414800
2016-01-06,95.529999,96.459999,95.070000,95.559998,86.662201,5901400
2016-01-07,94.500000,95.690002,93.919998,94.180000,85.410690,6309700
2016-01-08,94.589996,96.000000,93.279999,93.559998,84.848404,5634400
2016-01-11,93.830002,95.300003,93.589996,94.919998,86.081787,6243400
2016-01-12,95.639999,96.190002,94.690002,95.690002,86.780083,5333500
2016-01-13,95.839996,96.629997,93.949997,94.110001,85.347206,6270900
2016-01-14,94.110001,96.339996,94.110001,95.510002,86.616852,4986800
2016-01-15,93.510002,95.110001,92.949997,93.900002,85.156746,7556600
2016-01-19,94.870003,95.559998,94.339996,95.059998,86.208740,6258600
2016-01-20,93.360001,95.000000,92.349998,94.120003,85.739601,7107700
2016-01-21,94.550003,95.309998,93.510002,94.480003,86.067558,4845700
2016-01-22,95.800003,96.089996,94.379997,95.639999,87.124245,4376900
2016-01-25,95.559998,95.800003,93.989998,94.070000,85.694069,5734900
2016-01-26,94.129997,94.510002,93.419998,94.040001,85.666718,4529000
2016-01-27,94.129997,95.309998,93.480003,94.339996,85.940010,3905600
2016-01-28,95.269997,95.269997,93.080002,93.489998,85.165703,4074700
2016-01-29,94.209999,96.589996,93.209999,96.589996,87.989677,6245300
2016-02-01,95.889999,97.889999,95.559998,97.320000,88.654686,3915200
2016-02-02,96.150002,96.410004,94.730003,94.940002,86.486595,4437800
2016-02-03,95.570000,96.029999,93.860001,95.370003,86.878304,5070200
2016-02-04,95.050003,95.550003,93.910004,94.629997,86.204201,4686800
2016-02-05,94.550003,94.790001,92.559998,93.099998,84.810417,6353500
2016-02-08,92.220001,92.379997,89.239998,89.650002,81.667618,9664800
2016-02-09,87.019997,91.959999,86.500000,90.510002,82.451035,11876900
2016-02-10,91.199997,94.349998,91.059998,93.110001,84.819542,7471500
2016-02-11,91.830002,94.389999,91.480003,93.870003,85.511887,8835600
2016-02-12,94.669998,95.970001,94.029999,95.860001,87.324661,4701700
